Date,IRFM11.SA,IMAB11.SA,^BVSP,^GSPC,BRL=X,GC=F,BTC-USD
2020-01-01,62.47999954223633,76.9800033569336,113761.0,3225.52001953125,4.242199897766113,1582.9000244140625,9350.529296875
2020-02-01,62.7599983215332,76.9800033569336,104172.0,2954.219970703125,4.470508098602295,1564.0999755859375,8599.5087890625
2020-03-01,62.68000030517578,71.19999694824219,73020.0,2584.590087890625,5.192699909210205,,6438.64453125
2020-04-01,63.279998779296875,70.63999938964844,80506.0,2912.429931640625,5.334799766540527,1684.199951171875,8658.5537109375
2020-05-01,64.31999969482422,73.38999938964844,87403.0,3044.31005859375,5.332300186157227,1736.9000244140625,9461.05859375
2020-06-01,64.86000061035156,75.44000244140625,95056.0,3100.2900390625,5.402100086212158,1793.0,9137.9931640625
2020-07-01,65.58000183105469,79.23999786376953,102912.0,3271.1201171875,5.153900146484375,1962.800048828125,11323.466796875
2020-08-01,65.02999877929688,78.4000015258789,99369.0,3500.31005859375,5.389999866485596,1967.5999755859375,11680.8203125
2020-09-01,64.58000183105469,76.47000122070312,94603.0,3363.0,5.630499839782715,1887.5,10784.4912109375
2020-10-01,64.33000183105469,77.43000030517578,93952.0,3269.9599609375,5.7778000831604,1877.4000244140625,13780.9951171875
2020-11-01,64.69999694824219,77.5999984741211,108888.0,3621.6298828125,5.34250020980835,,19625.8359375
2020-12-01,65.95999908447266,81.19999694824219,119306.0,3756.070068359375,5.190838813781738,1893.0999755859375,29001.720703125
2021-01-01,65.44999694824219,81.19999694824219,116007.0,3714.239990234375,5.4608001708984375,1847.300048828125,33114.359375
2021-02-01,64.56999969482422,79.81999969482422,110035.0,3811.14990234375,5.597599983215332,1728.0999755859375,45137.76953125
2021-03-01,63.83000183105469,79.44000244140625,116634.0,3972.889892578125,5.771599769592285,1713.800048828125,58918.83203125
2021-04-01,64.5199966430664,80.93000030517578,118894.0,4181.169921875,5.336400032043457,1767.300048828125,57750.17578125
2021-05-01,64.58999633789062,81.41999816894531,126216.0,4204.10986328125,5.23799991607666,1902.5,37332.85546875
2021-06-01,64.68000030517578,80.1500015258789,126802.0,4297.5,4.955100059509277,1770.800048828125,35040.8359375
